-89.589 40.6936
-87.62 41.83
-87.92 43.03
-89.771 43.6275
-90.67 42.52
-93.62 41.58
-93.23 44.98
-96.73 43.55
-100.35 44.37
-95.93 41.25
-96.67 40.83
-94.58 39.1
-93.28 37.22
-92.3333 34.7333
-93.05 34.52
-93.7 32.47
-90.2 32.33
-90.07 29.95
-88.05 30.7
-86.3 32.35
-86.83 33.5
-84.38 33.75
-83.93 35.95
-80.83 35.23
-81.03 34
-77.95 34.23
-79.93 32.78
-81.08 32.08
-81.67 30.37
-81.3 28.4167
-82.45 27.95
-80.2 25.77
-66.17 18.5
-81.8 24.55
-89.6167 20.9667
-88.7667 17.25
-89.1833 13.6833
-90.5333 14.8333
-91.5667 14.8333
-92.2667 14.9
-96.15 19.1833
-98.2667 19.05
-99.8833 16.8667
-99.1333 19.4333
-97.8667 22.25
-98.55 29.38
-97.73 30.27
-95.35 29.75
-96.77 32.77
-97.32 32.72
-97.47 35.43
-95.98 36.15
-97.28 37.72
-101.83 35.18
-104.25 32.43
-106.48 31.77
-112.07 33.48
-115.55 32.63
-117.17 32.7
-118.18 33.77
-118.25 34.05
-157.83 21.3
-165.5 64.42
-149.9 61.22
-135.25 57.17
-134.4 58.3
-113.47 53.57
-114.02 51.02
-117.28 49.5
-123.1 49.22
-123.35 48.42
-122.33 47.62
-122.68 45.52
-123.08 44.05
-121.73 42.17
-119.82 39.5
-121.5 38.58
-122.27 37.8
-122.43 37.78
-121.88 37.33
-119.8 36.73
-115.2 36.17
-111.68 35.22
-106.65 35.08
-105.95 35.68
-105 39.75
-104.87 41.15
-108.55 39.08
-112.08 38.77
-111.9 40.77
-112.02 43.5
-116.22 43.6
-117.83 44.78
-117.03 46.4
-117.43 47.67
-112.03 46.58
-109.72 48.55
-105.52 50.62
-100.78 46.8
-96.8 46.87
-97.12 49.9
-90.4667 49.05
-89.25 48.3833
-92.08 46.82
-89.6301 44.9591
-85.67 42.97
-85.1333 41.0833
-83.55 41.65
-83.05 42.33
-81.57 43.03
-79.4 43.67
-78.83 42.92
-76.13 43.03
-76.5 44.25
-75.72 45.4
-73.58 45.5
-73.75 42.67
-72.53 44.25
-71.18 46.82
-66.17 45.3
-67 44.9
-68.78 44.8
-70.25 43.67
-71.5 43
-71.08 42.35
-71.4 41.83
-72.57 42.1
-72.92 41.32
-73.97 40.78
-74.17 40.73
-75.17 39.95
-76.63 39.3
-77.03 38.88
-77.48 37.55
-75.97 36.85
-78.65 35.77
-79.95 37.28
-81.63 38.35
-79.95 40.45
-81.62 41.47
-83.02 40
-84.5 39.13
-86.17 39.77
-85.77 38.25
-86.78 36.17
-90.05 35.15
-90.2179 38.0095
-90.2 38.58
-90.1833 38.6333
-89.63 39.8
