-66.17 45.3
-67 44.9
-68.78 44.8
-70.25 43.67
-71.5 43
-71.08 42.35
-71.4 41.83
-72.57 42.1
-73.75 42.67
-75.72 45.4
-76.5 44.25
-76.13 43.03
-78.83 42.92
-79.4 43.67
-81.57 43.03
-83.05 42.33
-87.62 41.83
-89.589 40.6936
-89.63 39.8
-93.28 37.22
-96.77 32.77
-97.32 32.72
-101.83 35.18
-104.25 32.43
-106.48 31.77
-106.65 35.08
-105.95 35.68
-108.55 39.08
-111.9 40.77
-112.08 38.77
-115.2 36.17
-111.68 35.22
-112.07 33.48
-115.55 32.63
-117.17 32.7
-118.18 33.77
-118.25 34.05
-119.8 36.73
-121.88 37.33
-122.43 37.78
-122.27 37.8
-121.5 38.58
-119.82 39.5
-121.73 42.17
-123.08 44.05
-122.68 45.52
-122.33 47.62
-117.28 49.5
-114.02 51.02
-112.03 46.58
-109.72 48.55
-100.78 46.8
-100.35 44.37
-96.73 43.55
-95.93 41.25
-93.62 41.58
-94.58 39.1
-90.2179 38.0095
-90.2 38.58
-90.1833 38.6333
-86.17 39.77
-83.02 40
-81.62 41.47
-83.55 41.65
-85.1333 41.0833
-85.67 42.97
-87.92 43.03
-90.67 42.52
-89.771 43.6275
-89.6301 44.9591
-89.25 48.3833
-90.4667 49.05
-92.08 46.82
-93.23 44.98
-96.8 46.87
-97.12 49.9
-105.52 50.62
-113.47 53.57
-134.4 58.3
-135.25 57.17
-149.9 61.22
-165.5 64.42
-157.83 21.3
-123.35 48.42
-123.1 49.22
-117.43 47.67
-117.03 46.4
-117.83 44.78
-116.22 43.6
-112.02 43.5
-104.87 41.15
-105 39.75
-96.67 40.83
-97.28 37.72
-97.47 35.43
-95.98 36.15
-93.05 34.52
-92.3333 34.7333
-90.2 32.33
-90.07 29.95
-88.05 30.7
-82.45 27.95
-81.3 28.4167
-81.67 30.37
-81.08 32.08
-79.93 32.78
-81.03 34
-84.38 33.75
-86.3 32.35
-86.83 33.5
-90.05 35.15
-93.7 32.47
-95.35 29.75
-97.73 30.27
-98.55 29.38
-97.8667 22.25
-99.1333 19.4333
-99.8833 16.8667
-98.2667 19.05
-96.15 19.1833
-92.2667 14.9
-91.5667 14.8333
-90.5333 14.8333
-89.1833 13.6833
-88.7667 17.25
-89.6167 20.9667
-81.8 24.55
-80.2 25.77
-66.17 18.5
-77.95 34.23
-78.65 35.77
-75.97 36.85
-77.03 38.88
-76.63 39.3
-79.95 40.45
-81.63 38.35
-84.5 39.13
-85.77 38.25
-86.78 36.17
-83.93 35.95
-80.83 35.23
-79.95 37.28
-77.48 37.55
-75.17 39.95
-74.17 40.73
-73.97 40.78
-72.92 41.32
-72.53 44.25
-73.58 45.5
-71.18 46.82
